team,abbreviations,zip,med_sal,Rk,Player,Salary,codes,links,games,points,rebounds,assists
Indiana Pacers,IND,46227,36452,172,T.J. McConnell,7500000,mccontj01,https://www.basketball-reference.com/players/m/mccontj01.html,69,8,3,6
Indiana Pacers,IND,46227,36452,190,Justin Holiday,6006420,holidju01,https://www.basketball-reference.com/players/h/holidju01.html,72,10,3,1
Indiana Pacers,IND,46227,36452,224,Torrey Craig,4878049,craigto01,https://www.basketball-reference.com/players/c/craigto01.html,50,5,3,1
Indiana Pacers,IND,46227,36452,289,Goga Bitadze,3098400,bitadgo01,https://www.basketball-reference.com/players/b/bitadgo01.html,45,5,3,0
Charlotte Hornets,CHO,28269,33515,33,Gordon Hayward,29900000,haywago01,https://www.basketball-reference.com/players/h/haywago01.html,44,19,5,4
Charlotte Hornets,CHO,28269,33515,69,Terry Rozier,17905263,roziete01,https://www.basketball-reference.com/players/r/roziete01.html,69,20,4,4
Charlotte Hornets,CHO,28269,33515,113,Kelly Oubre Jr.,12000000,oubreke01,https://www.basketball-reference.com/players/o/oubreke01.html,55,15,6,1
Charlotte Hornets,CHO,28269,33515,144,Nicolas Batum,12213507,batumni01,https://www.basketball-reference.com/players/b/batumni01.html,67,8,4,2
Charlotte Hornets,CHO,28269,33515,161,LaMelo Ball,8231760,ballla01,https://www.basketball-reference.com/players/b/ballla01.html,51,15,5,6
Charlotte Hornets,CHO,28269,33515,163,Mason Plumlee,8137500,plumlma01,https://www.basketball-reference.com/players/p/plumlma01.html,56,10,9,3
Charlotte Hornets,CHO,28269,33515,203,Miles Bridges,5421493,bridgmi02,https://www.basketball-reference.com/players/b/bridgmi02.html,66,12,6,2
Charlotte Hornets,CHO,28269,33515,235,Ish Smith,4500000,smithis01,https://www.basketball-reference.com/players/s/smithis01.html,44,6,3,3
Charlotte Hornets,CHO,28269,33515,245,P.J. Washington,4215120,washipj01,https://www.basketball-reference.com/players/w/washipj01.html,64,12,6,2
San Antonio Spurs,SAS,78245,25894,86,Dejounte Murray,15428571,murrade01,https://www.basketball-reference.com/players/m/murrade01.html,67,15,7,5
San Antonio Spurs,SAS,78245,25894,88,Derrick White,15178571,whitede01,https://www.basketball-reference.com/players/w/whitede01.html,36,15,3,3
San Antonio Spurs,SAS,78245,25894,95,Thaddeus Young,14190000,youngth01,https://www.basketball-reference.com/players/y/youngth01.html,68,12,6,4
San Antonio Spurs,SAS,78245,25894,98,Doug McDermott,13750000,mcderdo01,https://www.basketball-reference.com/players/m/mcderdo01.html,66,13,3,1
